ID_track_FK,ID_time_FK,streams_1month
1,1,186522.0
2,2,194313.0
3,3,63750.0
4,4,41473.0
5,5,30553.0
6,6,29687.0
7,7,24103.0
8,5,30838.0
9,8,20522.0
10,5,20741.0
11,9,14401.0
12,5,17799.0
13,5,16490.0
14,5,11654.0
15,1,11083.0
16,5,10994.0
17,5,11572.0
18,5,11741.0
19,5,10864.0
20,1,9540.0
21,1,10107.0
22,10,7237.0
23,11,6825.0
24,12,4798.0
25,13,4926.0
26,14,5585.0
27,4,4409.0
28,4,5044.0
29,4,5197.0
30,4,4104.0
31,15,5228.0
32,16,4354.0
33,17,4140.0
34,18,5915.0
35,19,5947.0
36,4,5630.0
37,20,4623.0
38,21,4207.0
39,17,5383.0
40,22,4893.0
41,16,4255.0
42,23,5003.0
43,24,4080.0
44,25,5836.0
45,16,4531.0
46,17,5339.0
47,16,4636.0
48,26,5054.0
49,16,5108.0
50,27,4381.0
51,28,5955.0
52,16,5565.0
53,29,5896.0
54,30,5807.0
55,31,5207.0
56,32,5860.0
57,33,4188.0
58,34,4405.0
59,35,4103.0
60,34,4664.0
61,36,4791.0
62,17,4555.0
63,37,5675.0
64,38,4727.0
65,39,4576.0
66,40,5100.0
67,41,4294.0
68,42,5622.0
69,30,4161.0
70,43,5991.0
71,44,26270.0
72,45,17723.0
73,46,14967.0
74,47,20603.0
75,48,18546.0
76,49,17466.0
77,50,15735.0
78,51,11748.0
79,52,13318.0
80,53,9595.0
81,54,12481.0
82,55,11338.0
83,56,6848.0
84,57,5785.0
85,58,6435.0
86,59,6104.0
87,51,5473.0
88,60,5291.0
89,51,5791.0
90,61,4955.0
91,62,4251.0
92,63,5442.0
93,64,5537.0
94,51,5136.0
95,65,5558.0
96,51,5001.0
97,51,5059.0
98,51,4866.0
99,51,4061.0
100,66,4226.0
101,12,4075.0
102,51,5286.0
103,51,4640.0
104,67,5031.0
105,51,5830.0
106,51,4511.0
107,68,4835.0
108,69,5527.0
109,70,4471.0
110,70,4168.0
111,71,4593.0
112,70,4336.0
113,72,5875.0
114,73,5631.0
115,74,5281.0
116,75,5757.0
117,70,5621.0
118,70,4388.0
119,70,5801.0
120,70,5094.0
121,70,5632.0
122,70,5810.0
123,67,4648.0
124,76,4230.0
125,70,4469.0
126,77,91830.0
127,46,74091.0
128,6,33175.0
129,78,21717.0
130,79,25356.0
131,80,21558.0
132,81,17348.0
133,82,13083.0
134,83,11366.0
135,84,14168.0
136,85,8371.0
137,86,8531.0
138,87,8837.0
139,88,7205.0
140,89,7238.0
141,90,6948.0
142,61,5053.0
143,91,5413.0
144,62,4614.0
145,92,4583.0
146,92,4085.0
147,93,5235.0
148,62,5020.0
149,93,4115.0
150,94,4570.0
151,95,5833.0
152,96,4492.0
153,93,4303.0
154,97,4994.0
155,98,5990.0
156,87,4496.0
157,99,5360.0
158,100,5539.0
159,101,4487.0
160,102,5472.0
161,87,4750.0
162,103,5280.0
163,104,5282.0
164,93,5086.0
165,92,4192.0
166,105,5687.0
167,87,4654.0
168,93,4387.0
169,87,4092.0
170,93,5197.0
171,92,5370.0
172,93,4045.0
173,87,5038.0
174,62,4465.0
175,93,5305.0
176,62,4361.0
177,106,5398.0
178,94,4786.0
179,107,5892.0
180,108,4695.0
181,109,4237.0
182,110,5866.0
183,111,5773.0
184,112,4530.0
185,113,5334.0
186,114,5651.0
187,115,5123.0
188,116,5074.0
189,94,4498.0
190,117,4198.0
191,118,5808.0
192,94,5818.0
193,94,5283.0
194,119,4692.0
195,120,4713.0
196,94,5467.0
197,121,5810.0
198,122,524979.0
199,123,365488.0
200,124,203090.0
201,124,131551.0
202,124,123287.0
203,124,162655.0
204,124,140663.0
205,125,99141.0
206,124,97863.0
207,124,122860.0
208,126,92137.0
209,127,85276.0
210,128,100508.0
211,124,102308.0
212,124,96119.0
213,124,77089.0
214,129,68247.0
215,130,53347.0
216,131,54999.0
217,124,62019.0
218,124,59318.0
219,131,63543.0
220,124,59144.0
221,124,56735.0
222,51,38264.0
223,132,39861.0
224,133,33218.0
225,132,32275.0
226,131,42146.0
227,131,31497.0
228,134,34583.0
229,131,31057.0
230,131,30349.0
231,132,27055.0
232,131,27371.0
233,131,26109.0
234,131,22819.0
235,132,27955.0
236,131,23203.0
237,135,19575.0
238,132,25318.0
239,131,18214.0
240,132,22996.0
241,131,22268.0
242,131,17988.0
243,132,14566.0
244,131,20942.0
245,132,15769.0
246,131,17957.0
247,10,15917.0
248,131,14498.0
249,124,10923.0
250,131,11280.0
251,136,11986.0
252,137,9214.0
253,138,7665.0
254,139,8994.0
255,140,8990.0
256,141,7279.0
257,142,5662.0
258,143,4205.0
259,144,5243.0
260,132,4292.0
261,145,5049.0
262,146,5770.0
263,147,5494.0
264,148,5409.0
265,149,5420.0
266,150,4733.0
267,151,4600.0
268,132,5633.0
269,152,5637.0
270,153,5750.0
271,154,5842.0
272,155,5037.0
273,156,5017.0
274,157,5612.0
275,158,5314.0
276,159,5419.0
277,160,5607.0
278,161,4690.0
279,162,4764.0
280,163,4199.0
281,164,5172.0
282,165,4084.0
283,102,4943.0
284,166,5098.0
285,167,4584.0
286,168,5194.0
287,169,4071.0
288,170,4085.0
289,171,5659.0
290,172,4731.0
291,124,4266.0
292,173,5058.0
293,102,5555.0
294,174,5261.0
295,175,4182.0
296,176,4114.0
297,162,5074.0
298,124,5096.0
299,177,5289.0
300,178,8844.0
301,179,6352.0
302,179,5047.0
303,76,4657.0
304,180,5604.0
305,179,4553.0
306,179,4890.0
307,179,4167.0
308,179,4061.0
309,179,5941.0
310,179,5688.0
311,179,5407.0
312,181,4831.0
313,23,4358.0
314,179,4324.0
315,181,4511.0
316,182,5112.0
317,181,5442.0
318,183,5336.0
319,181,4572.0
320,181,5926.0
321,181,5490.0
322,184,215342.0
323,185,193276.0
324,186,177929.0
325,187,164321.0
326,188,142974.0
327,184,146535.0
328,189,104463.0
329,188,109310.0
330,190,100972.0
331,185,97837.0
332,188,134533.0
333,188,116873.0
334,191,106336.0
335,192,86039.0
336,193,102118.0
337,184,93048.0
338,185,81209.0
339,194,89979.0
340,195,87245.0
341,185,94957.0
342,188,95404.0
343,59,72575.0
344,184,83948.0
345,170,91215.0
346,196,86858.0
347,197,97125.0
348,188,81579.0
349,184,65938.0
350,188,60164.0
351,185,76468.0
352,184,57364.0
353,198,72579.0
354,188,81975.0
355,185,65182.0
356,188,59830.0
357,170,64940.0
358,8,60393.0
359,188,61311.0
360,184,70824.0
361,184,56445.0
362,199,70008.0
363,184,67953.0
364,193,50010.0
365,184,46856.0
366,185,45293.0
367,170,42706.0
368,170,44082.0
369,184,55152.0
370,170,41813.0
371,200,46010.0
372,191,53959.0
373,185,36826.0
374,185,49818.0
375,170,39135.0
376,201,36321.0
377,170,43275.0
378,193,40485.0
379,184,44269.0
380,191,41464.0
381,184,42420.0
382,202,34188.0
383,185,32341.0
384,193,40600.0
385,170,39913.0
386,170,42368.0
387,203,33824.0
388,184,33064.0
389,184,38558.0
390,170,32496.0
391,170,40496.0
392,170,39303.0
393,170,33304.0
394,101,37012.0
395,191,37051.0
396,185,26863.0
397,204,36762.0
398,193,31425.0
399,191,35192.0
400,193,28517.0
401,184,34408.0
402,185,27999.0
403,170,21628.0
404,205,28327.0
405,170,19005.0
406,206,20826.0
407,193,25948.0
408,207,24591.0
409,208,21034.0
410,191,19275.0
411,206,17534.0
412,209,16025.0
413,208,15251.0
414,210,17364.0
415,48,17817.0
416,211,14134.0
417,191,13314.0
418,208,9236.0
419,212,10933.0
420,191,8948.0
421,213,10336.0
422,191,9588.0
423,208,11301.0
424,214,8771.0
425,191,7862.0
426,191,6787.0
427,215,8081.0
428,206,4917.0
429,191,4759.0
430,216,5722.0
431,217,4156.0
432,218,5658.0
433,219,5429.0
434,220,4175.0
435,206,4181.0
436,221,5990.0
437,208,4762.0
438,208,4756.0
439,206,5641.0
440,206,5911.0
441,222,5989.0
442,208,5525.0
443,223,4763.0
444,13,4177.0
445,224,5569.0
446,206,5131.0
447,208,4862.0
448,206,5828.0
449,208,4235.0
450,225,4998.0
451,208,4035.0
452,226,4952.0
453,208,4124.0
454,120,4251.0
455,208,4247.0
456,208,5314.0
457,227,5509.0
458,208,5181.0
459,208,5943.0
460,208,4763.0
461,228,4586.0
462,223,5752.0
463,229,4459.0
464,228,5943.0
465,230,4037.0
466,231,5957.0
467,232,4097.0
468,233,5799.0
469,228,5070.0
470,234,6000.0
471,228,4160.0
472,235,5123.0
473,228,5957.0
474,228,5060.0
475,228,5272.0
476,228,5408.0
477,228,4922.0
478,228,5271.0
479,228,5185.0
480,228,5820.0
481,228,4104.0
482,228,4576.0
483,228,5918.0
484,228,5796.0
485,228,4926.0
486,236,5255.0
487,228,4568.0
488,236,4389.0
489,236,4942.0
490,236,4719.0
491,236,5182.0
492,237,4166.0
493,236,5990.0
494,236,5413.0
495,236,5088.0
496,236,4633.0
497,236,5644.0
498,236,5386.0
499,236,4339.0
500,236,5839.0
501,236,5663.0
502,236,5917.0
503,236,5468.0
504,238,5244.0
505,236,4850.0
506,228,5883.0
507,239,156965.0
508,240,91612.0
509,240,28694.0
510,241,33626.0
511,242,36904.0
512,243,38823.0
513,240,20672.0
514,244,24767.0
515,245,19640.0
516,246,20103.0
517,240,18496.0
518,247,15116.0
519,247,12424.0
520,241,11706.0
521,248,10996.0
522,249,9426.0
523,241,11719.0
524,250,11482.0
525,251,11605.0
526,249,11328.0
527,241,9255.0
528,241,9774.0
529,247,9783.0
530,241,9308.0
531,252,7325.0
532,253,7907.0
533,240,6630.0
534,246,8977.0
535,240,7842.0
536,254,6650.0
537,241,7589.0
538,247,7417.0
539,255,6507.0
540,247,5600.0
541,256,7033.0
542,175,6640.0
543,247,7153.0
544,249,5994.0
545,257,6725.0
546,249,5942.0
547,247,5958.0
548,213,6672.0
549,241,5487.0
550,252,4820.0
551,240,4568.0
552,249,6196.0
553,240,5826.0
554,252,5938.0
555,241,4773.0
556,249,4460.0
557,247,4183.0
558,240,4876.0
559,247,5241.0
560,247,4798.0
561,247,4889.0
562,247,5822.0
563,127,4710.0
564,11,5043.0
565,240,5582.0
566,249,4807.0
567,247,5259.0
568,240,5743.0
569,127,5914.0
570,249,4307.0
571,127,5868.0
572,241,4997.0
573,241,4529.0
574,240,4933.0
575,247,5976.0
576,253,5000.0
577,257,4670.0
578,127,5283.0
579,249,4492.0
580,258,4164.0
581,246,4271.0
582,175,4268.0
583,252,4317.0
584,252,4289.0
585,259,5297.0
586,249,4375.0
587,250,4703.0
588,127,5809.0
589,241,4961.0
590,175,5352.0
591,260,4357.0
592,127,4398.0
593,252,4093.0
594,250,4351.0
595,127,4569.0
596,175,4367.0
597,175,4188.0
598,175,4253.0
599,250,4935.0
600,246,4425.0
601,260,4742.0
602,253,5020.0
603,64,5396.0
604,253,4090.0
605,41,5614.0
606,250,5270.0
607,175,4176.0
608,261,5764.0
609,250,5858.0
610,259,4135.0
611,127,4566.0
612,253,5629.0
613,262,5510.0
614,250,4383.0
615,246,4432.0
616,259,4755.0
617,175,4983.0
